,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9730538922155688,0.8059701492537313,1.0,0.9483568075117371,0.9263413471564333,0.9506341531777731
recall,0.9730538922155688,0.8709677419354839,0.8333333333333334,0.9483568075117371,0.8924516558281287,0.9483568075117371
f1-score,0.9730538922155688,0.8372093023255814,0.9090909090909091,0.9483568075117371,0.9064513678773531,0.9487786479270266
support,334.0,62.0,30.0,0.9483568075117371,426.0,426.0
